json_file,model_shortname,model,species,search_strategy,good_alat,good_energy_per_atom,spec_equil_alat,relative_difference_percent,good_curvature,num_nm_attempts,num_coarse_minima,num_accepted_candidates,num_rejected_candidates
Sim_LAMMPS_BOP_WardZhouWong_2013_CdZnTe__SM_010061267051_000_Cd-Zn-Te.json,BOP_WardZhouWong,Sim_LAMMPS_BOP_WardZhouWong_2013_CdZnTe__SM_010061267051_000,Cd,nelder_mead,4.452118642257934,-1.1281926667456887,-1.0,,,1,1,0,0
Sim_LAMMPS_BOP_WardZhouWong_2013_CdZnTe__SM_010061267051_000_Cd-Zn-Te.json,BOP_WardZhouWong,Sim_LAMMPS_BOP_WardZhouWong_2013_CdZnTe__SM_010061267051_000,Zn,nelder_mead,4.035168041577149,-1.3168328375706722,-1.0,,,1,1,0,0
Sim_LAMMPS_BOP_WardZhouWong_2013_CdZnTe__SM_010061267051_000_Cd-Zn-Te.json,BOP_WardZhouWong,Sim_LAMMPS_BOP_WardZhouWong_2013_CdZnTe__SM_010061267051_000,Te,nelder_mead,4.9508893858125,-1.845492712595925,-1.0,,,1,1,0,0
Sim_LAMMPS_BOP_ZhouFosterVanSwol_2014_CdTeSe__SM_567065323363_000_Cd-Te-Se.json,BOP_ZhouFosterVanSwol,Sim_LAMMPS_BOP_ZhouFosterVanSwol_2014_CdTeSe__SM_567065323363_000,Cd,nelder_mead,4.452118642257934,-1.1281926667456887,-1.0,,,1,1,0,0
Sim_LAMMPS_BOP_ZhouFosterVanSwol_2014_CdTeSe__SM_567065323363_000_Cd-Te-Se.json,BOP_ZhouFosterVanSwol,Sim_LAMMPS_BOP_ZhouFosterVanSwol_2014_CdTeSe__SM_567065323363_000,Te,nelder_mead,4.9508893858125,-1.845492712595925,-1.0,,,1,1,0,0
Sim_LAMMPS_BOP_ZhouFosterVanSwol_2014_CdTeSe__SM_567065323363_000_Cd-Te-Se.json,BOP_ZhouFosterVanSwol,Sim_LAMMPS_BOP_ZhouFosterVanSwol_2014_CdTeSe__SM_567065323363_000,Se,nelder_mead,4.644642985294921,-1.7915098735646762,-1.0,,,1,1,0,0
Sim_LAMMPS_BOP_ZhouWardFoster_2015_CuH__SM_404135993060_000_Cu-H.json,BOP_ZhouWardFoster,Sim_LAMMPS_BOP_ZhouWardFoster_2015_CuH__SM_404135993060_000,Cu,nelder_mead,3.6152649854077143,-3.4733036837183855,-1.0,,,1,1,0,0
Sim_LAMMPS_BOP_ZhouWardFoster_2015_CuH__SM_404135993060_000_Cu-H.json,BOP_ZhouWardFoster,Sim_LAMMPS_BOP_ZhouWardFoster_2015_CuH__SM_404135993060_000,H,nelder_mead,2.4448242187499996,-0.4647905907114747,-1.0,,,1,1,0,0
Sim_LAMMPS_Buckingham_ArimaYoshidaMatsumoto_2014_PuUThNpO__SM_182981756100_000_Pu-U-Th-Np-O.json,Buckingham_ArimaYoshidaMatsumoto,Sim_LAMMPS_Buckingham_ArimaYoshidaMatsumoto_2014_PuUThNpO__SM_182981756100_000,Pu,nelder_mead,3.1491074019124925,-74.18783159701796,-1.0,,,1,1,0,0
Sim_LAMMPS_Buckingham_ArimaYoshidaMatsumoto_2014_PuUThNpO__SM_182981756100_000_Pu-U-Th-Np-O.json,Buckingham_ArimaYoshidaMatsumoto,Sim_LAMMPS_Buckingham_ArimaYoshidaMatsumoto_2014_PuUThNpO__SM_182981756100_000,U,nelder_mead,3.236392143154198,-72.01653371492972,-1.0,,,1,1,0,0
Sim_LAMMPS_Buckingham_ArimaYoshidaMatsumoto_2014_PuUThNpO__SM_182981756100_000_Pu-U-Th-Np-O.json,Buckingham_ArimaYoshidaMatsumoto,Sim_LAMMPS_Buckingham_ArimaYoshidaMatsumoto_2014_PuUThNpO__SM_182981756100_000,Th,nelder_mead,3.4146132386485,-68.71982709297825,-1.0,,,1,1,0,0
Sim_LAMMPS_Buckingham_ArimaYoshidaMatsumoto_2014_PuUThNpO__SM_182981756100_000_Pu-U-Th-Np-O.json,Buckingham_ArimaYoshidaMatsumoto,Sim_LAMMPS_Buckingham_ArimaYoshidaMatsumoto_2014_PuUThNpO__SM_182981756100_000,Np,nelder_mead,3.18197926658709,-72.9899737856864,-1.0,,,1,1,0,0
Sim_LAMMPS_Buckingham_ArimaYoshidaMatsumoto_2014_PuUThNpO__SM_182981756100_000_Pu-U-Th-Np-O.json,Buckingham_ArimaYoshidaMatsumoto,Sim_LAMMPS_Buckingham_ArimaYoshidaMatsumoto_2014_PuUThNpO__SM_182981756100_000,O,nelder_mead,3.684846796933561,-14.371854471403648,-1.0,,,1,1,0,0
Sim_LAMMPS_Buckingham_FreitasSantosColaco_2015_SiCaOAl__SM_154093256665_000_Si-Ca-O-Al.json,Buckingham_FreitasSantosColaco,Sim_LAMMPS_Buckingham_FreitasSantosColaco_2015_SiCaOAl__SM_154093256665_000,Si,nelder_mead,1.6561574370292318,-114.80674136298796,-1.0,,,1,1,0,0
Sim_LAMMPS_Buckingham_FreitasSantosColaco_2015_SiCaOAl__SM_154093256665_000_Si-Ca-O-Al.json,Buckingham_FreitasSantosColaco,Sim_LAMMPS_Buckingham_FreitasSantosColaco_2015_SiCaOAl__SM_154093256665_000,Ca,nelder_mead,3.506691599116893,-12.29973074935242,-1.0,,,1,1,0,0
Sim_LAMMPS_Buckingham_FreitasSantosColaco_2015_SiCaOAl__SM_154093256665_000_Si-Ca-O-Al.json,Buckingham_FreitasSantosColaco,Sim_LAMMPS_Buckingham_FreitasSantosColaco_2015_SiCaOAl__SM_154093256665_000,O,nelder_mead,4.046600332856179,-10.851689362944782,-1.0,,,1,1,0,0
Sim_LAMMPS_Buckingham_FreitasSantosColaco_2015_SiCaOAl__SM_154093256665_000_Si-Ca-O-Al.json,Buckingham_FreitasSantosColaco,Sim_LAMMPS_Buckingham_FreitasSantosColaco_2015_SiCaOAl__SM_154093256665_000,Al,nelder_mead,1.7111988169256045,-62.501770395541655,-1.0,,,1,1,0,0
Sim_LAMMPS_Buckingham_MatsuiAkaogi_1991_TiO__SM_690504433912_000_Ti-O.json,Buckingham_MatsuiAkaogi,Sim_LAMMPS_Buckingham_MatsuiAkaogi_1991_TiO__SM_690504433912_000,Ti,nelder_mead,2.262741767434958,-66.82207144644435,-1.0,,,1,1,0,0
Sim_LAMMPS_Buckingham_MatsuiAkaogi_1991_TiO__SM_690504433912_000_Ti-O.json,Buckingham_MatsuiAkaogi,Sim_LAMMPS_Buckingham_MatsuiAkaogi_1991_TiO__SM_690504433912_000,O,nelder_mead,3.561953653693199,-10.517352319315938,-1.0,,,1,1,0,0
Sim_LAMMPS_Buckingham_SayleCatlowMaphanga_2005_MnO__SM_757974494010_000_Mn-O.json,Buckingham_SayleCatlowMaphanga,Sim_LAMMPS_Buckingham_SayleCatlowMaphanga_2005_MnO__SM_757974494010_000,Mn,nelder_mead,1.9657671599811715,-77.93379528523985,-1.0,,,1,1,0,0
Sim_LAMMPS_Buckingham_SayleCatlowMaphanga_2005_MnO__SM_757974494010_000_Mn-O.json,Buckingham_SayleCatlowMaphanga,Sim_LAMMPS_Buckingham_SayleCatlowMaphanga_2005_MnO__SM_757974494010_000,O,nelder_mead,3.5597481617331512,-10.558054310390261,-1.0,,,1,1,0,0
Sim_LAMMPS_Buckingham_SunStirnerHagston_2006_AlO__SM_466046725502_000_Al-O.json,Buckingham_SunStirnerHagston,Sim_LAMMPS_Buckingham_SunStirnerHagston_2006_AlO__SM_466046725502_000,Al,nelder_mead,1.7111984820342334,-173.6159560833263,-1.0,,,1,1,0,0
Sim_LAMMPS_Buckingham_SunStirnerHagston_2006_AlO__SM_466046725502_000_Al-O.json,Buckingham_SunStirnerHagston,Sim_LAMMPS_Buckingham_SunStirnerHagston_2006_AlO__SM_466046725502_000,O,nelder_mead,3.1378274482768034,-32.2595827487274,-1.0,,,1,1,0,0
Sim_LAMMPS_Buckingham_SunStirnerHagston_2006_MgO__SM_152356670345_000_Mg-O.json,Buckingham_SunStirnerHagston,Sim_LAMMPS_Buckingham_SunStirnerHagston_2006_MgO__SM_152356670345_000,Mg,nelder_mead,1.9940411967909006,-66.21762241908073,-1.0,,,1,1,0,0
Sim_LAMMPS_Buckingham_SunStirnerHagston_2006_MgO__SM_152356670345_000_Mg-O.json,Buckingham_SunStirnerHagston,Sim_LAMMPS_Buckingham_SunStirnerHagston_2006_MgO__SM_152356670345_000,O,nelder_mead,3.1378274482768034,-32.2595827487274,-1.0,,,1,1,0,0
Sim_LAMMPS_Buckingham_WangShinShin_2019_CrO__SM_295921111679_000_Cr-O.json,Buckingham_WangShinShin,Sim_LAMMPS_Buckingham_WangShinShin_2019_CrO__SM_295921111679_000,Cr,nelder_mead,1.9657569719739667,-151.1333880622638,-1.0,,,1,1,0,0
Sim_LAMMPS_Buckingham_WangShinShin_2019_CrO__SM_295921111679_000_Cr-O.json,Buckingham_WangShinShin,Sim_LAMMPS_Buckingham_WangShinShin_2019_CrO__SM_295921111679_000,O,nelder_mead,2.743976295869798,-44.09806127753265,-1.0,,,1,1,0,0
Sim_LAMMPS_ReaxFF_BroqvistKullgrenWolf_2015_CeO__SM_063950220736_000_Ce-O.json,ReaxFF_BroqvistKullgrenWolf,Sim_LAMMPS_ReaxFF_BroqvistKullgrenWolf_2015_CeO__SM_063950220736_000,Ce,nelder_mead,4.8230793757719725,-4.282437126061425,-1.0,,,1,2,0,0
Sim_LAMMPS_ReaxFF_BroqvistKullgrenWolf_2015_CeO__SM_063950220736_000_Ce-O.json,ReaxFF_BroqvistKullgrenWolf,Sim_LAMMPS_ReaxFF_BroqvistKullgrenWolf_2015_CeO__SM_063950220736_000,O,nelder_mead,2.8681219482421874,-0.7398784865894957,-1.0,,,1,2,0,0
Sim_LAMMPS_ReaxFF_ChenowethVanDuinPersson_2008_CHOV__SM_429148913211_001_C-H-O-V.json,ReaxFF_ChenowethVanDuinPersson,Sim_LAMMPS_ReaxFF_ChenowethVanDuinPersson_2008_CHOV__SM_429148913211_001,C,nelder_mead,2.8937208557128917,-5.1818412543468995,-1.0,,,1,2,0,0
Sim_LAMMPS_ReaxFF_ChenowethVanDuinPersson_2008_CHOV__SM_429148913211_001_C-H-O-V.json,ReaxFF_ChenowethVanDuinPersson,Sim_LAMMPS_ReaxFF_ChenowethVanDuinPersson_2008_CHOV__SM_429148913211_001,H,nelder_mead,2.5463623046875,-0.2819906098625179,-1.0,,,1,2,0,0
Sim_LAMMPS_ReaxFF_ChenowethVanDuinPersson_2008_CHOV__SM_429148913211_001_C-H-O-V.json,ReaxFF_ChenowethVanDuinPersson,Sim_LAMMPS_ReaxFF_ChenowethVanDuinPersson_2008_CHOV__SM_429148913211_001,O,nelder_mead,2.675363159179688,-0.640402174629413,-1.0,,,1,2,0,0
